time,seconds_elapsed,z,y,x
1695804835619486700,0.02248681640625,-0.07535247036516667,-0.022124591916054485,-0.227317201898247
1695804835629486800,0.03248681640625,-0.2596317639172077,-0.05673771320097148,-0.11356522357724606
1695804835639486000,0.04248583984375,-0.28074820170402526,-0.0773003895625472,-0.0668830404445529
1695804835649484800,0.05248486328125,-0.1442231774955988,-0.04633855732679367,-0.19491466933488844
1695804835659485000,0.06248486328125,0.12018588382601737,-0.13263152390122412,-0.3377984149202704
1695804835669483800,0.07248388671875,0.39968087059855456,-0.20345117314234376,-0.32266908871904015
1695804835679484000,0.08248388671875,0.5403565847456455,-0.1788032002285123,-0.16115217352993785
1695804835689483000,0.09248291015625,0.5738315688461065,-0.2382375321023166,-0.01615676955282688
1695804835699481900,0.10248193359375,0.5325292521208524,-0.22048370261639355,0.007560279186442494
1695804835709482000,0.11248193359375,0.45566170101761816,-0.16348317376077173,-0.013333674956113099
1695804835719480800,0.122480712890625,0.41411330057680606,-0.23858444584384558,0.00032974341101944446
1695804835729481000,0.13248095703125,0.43072073650658127,-0.3113428080625832,-0.01603767321780324
1695804835739479800,0.142479736328125,0.4018769193381071,-0.3534137710727751,-0.12289601956754923
1695804835749479700,0.152479736328125,0.21388065108954904,-0.40541693003252144,-0.3717957423944026
1695804835759478800,0.162478759765625,0.025291677644848822,-0.3273749283224344,-0.5230294562391936
1695804835769478000,0.172477783203125,-0.1522615225225687,-0.2413651626035571,-0.4090202152214944
1695804835779477800,0.182477783203125,-0.1797802285671234,-0.1955292941018939,-0.1004795320328325
1695804835789476900,0.192476806640625,-0.09199439308643341,-0.1941540602259338,0.10726290856264531
1695804835799476700,0.202476806640625,0.11569617119133471,-0.21347075511440633,0.16824527359604835
1695804835809475800,0.212475830078125,0.25399112768173215,-0.2746909474916756,0.10864259941801428
1695804835819475000,0.222474853515625,0.31045360413789747,-0.30915260454192756,0.04596270975172519
1695804835829474800,0.232474853515625,0.3249439017832279,-0.3619448680527508,0.05865048801973462
1695804835839474000,0.242473876953125,0.2517985860735178,-0.39300080831274387,0.062216144612058995
1695804835849474000,0.25247412109375,0.1296785193145275,-0.30565804042443634,-0.0745777596656233
1695804835859472600,0.26247265625,-0.04407061239480972,-0.30278833020702,-0.23841347319111228
1695804835869471700,0.2724716796875,-0.023866028755903244,-0.4049845299646258,-0.3601221096049994
1695804835879471900,0.282471923828125,0.13411270236968995,-0.37211861767321824,-0.45067054166682063
1695804835889470700,0.292470703125,0.2313812364667654,-0.3876104935765266,-0.42002157477252183
1695804835899470800,0.302470947265625,0.3174292883694172,-0.44258039338737726,-0.30685316849313676
1695804835909470000,0.312469970703125,0.3696563192129135,-0.4421440477967262,-0.1838585108567029
1695804835919468800,0.32246875,0.3606587737649679,-0.3210696906983852,-0.007869199005141854
1695804835929469000,0.332468994140625,0.27017770785093304,-0.18285422918498515,0.11548830059431493
1695804835939468000,0.342468017578125,0.1763648671656847,-0.15816972365304827,0.24356281877830624
1695804835949468000,0.352468017578125,0.12982348074316977,-0.12692702864930033,0.2370459842301905
1695804835959467000,0.362467041015625,0.04568506185412407,-0.0972350702188909,0.07253390581309795
1695804835969467000,0.372466796875,-0.20953180823028086,-0.0341365167491138,-0.12711078771837056
1695804835979466000,0.382466064453125,-0.4471750277012586,-0.06644611033201217,-0.2562659407459199
1695804835989464800,0.39246484375,-0.3751280286222696,-0.16944909642785785,-0.22490005775392055
1695804835999464700,0.402464599609375,-0.052362639921903605,-0.16971578454002736,-0.07181034077890217
1695804836009463800,0.4124638671875,0.21266250747144222,-0.2385541968360543,0.1343879391144961
1695804836019463700,0.422463623046875,0.33711014039516446,-0.237581260150671,0.33461547403521835
1695804836029462800,0.432462890625,0.3412999933004379,-0.2171943056821823,0.34341523188874123
1695804836039462000,0.4424619140625,0.21539573182761668,-0.24295053209885953,0.24828217545039952
1695804836049461800,0.452461669921875,-0.017559622088074683,-0.23162585887759923,0.20095460708625615
1695804836059460600,0.462460693359375,-0.14143676164746283,-0.2556378719754517,0.14802191219143568
1695804836069460700,0.472460693359375,-0.12391630252599715,-0.24478096239641306,0.11490969698876141
1695804836079459600,0.48245947265625,-0.07538754167854786,-0.2372504207611084,0.17373137685693799
1695804836089459700,0.492459716796875,-0.13244038524329663,-0.25111864098533987,0.15999920410253107
1695804836099458800,0.502458740234375,-0.1969248401135206,-0.2500070264816284,0.0858571324404329
1695804836109457700,0.512457763671875,-0.039709494575858116,-0.2753394745282829,0.09558956803418696
1695804836119457800,0.522457763671875,0.1836363194733858,-0.3395144250579178,0.18084486212395132
1695804836129456600,0.53245654296875,0.2447182724237442,-0.37459289883226154,0.32072884137146174
1695804836139456800,0.542456787109375,0.17874094864726064,-0.31333997322916984,0.49572147033587094
1695804836149456000,0.552455810546875,0.06530512360334396,-0.192016829001531,0.6685797906853258
1695804836159454700,0.562454833984375,-0.030817163068056104,-0.11318996052406728,0.648976022483781
1695804836169454800,0.572454833984375,-0.08153729647994042,-0.09785912040136754,0.5581118024710565
1695804836179454000,0.582453857421875,-0.10825053136050701,-0.1518591522667557,0.4572058617196977
1695804836189453800,0.592453857421875,-0.17708441361188887,-0.1390042007382959,0.36818405470326543
1695804836199452700,0.60245263671875,-0.43388942967057226,0.09801876794248819,0.6156754451021552
1695804836209451800,0.61245166015625,-0.4676590128034353,0.4791249211262911,1.0033873532265425
1695804836219451600,0.62245166015625,-0.5852800145775079,0.7409695387873798,0.8834158428035676
1695804836229450800,0.63245068359375,-0.8902198237299919,0.7944159553579986,0.7012371017273515
