time,seconds_elapsed,z,y,x
1695804835619486700,0.02248681640625,-9.693588268965483,-1.048682027523592,-1.0511864115599543
1695804835629486800,0.03248681640625,-9.692166711729765,-1.0830519146371633,-1.029217156336084
1695804835639486000,0.04248583984375,-9.690054249620436,-1.1223442067142575,-1.0067667665317654
1695804835649484800,0.05248486328125,-9.68786521514356,-1.1627332810521125,-0.9816858090281486
1695804835659485000,0.06248486328125,-9.686068979376554,-1.1986942367494107,-0.9558186695829033
1695804835669483800,0.07248388671875,-9.68499345909953,-1.2269346811972557,-0.9305458427689969
1695804835679484000,0.08248388671875,-9.685009825712442,-1.2461957003757358,-0.9044172028433531
1695804835689483000,0.09248291015625,-9.686163087400793,-1.2563428542502224,-0.8776286377042531
1695804835699481900,0.10248193359375,-9.688106038162111,-1.2597314737752079,-0.8509178139764815
1695804835709482000,0.11248193359375,-9.690247141844033,-1.2592711627870798,-0.8268814701549708
1695804835719480800,0.122480712890625,-9.692093646493554,-1.2565944909237325,-0.8091209917325526
1695804835729481000,0.13248095703125,-9.693587684443592,-1.2523701512269676,-0.7976916160278021
1695804835739479800,0.142479736328125,-9.694970078712702,-1.2472595302149652,-0.7888458270754665
1695804835749479700,0.152479736328125,-9.696265963742137,-1.2431405505888162,-0.7793663433294743
1695804835759478800,0.162478759765625,-9.697267834261059,-1.2417249847024678,-0.7690911791611462
1695804835769478000,0.172477783203125,-9.697633160442113,-1.245134647015482,-0.75890120905824
1695804835779477800,0.182477783203125,-9.697049807596207,-1.2540101735189557,-0.7517066213790327
1695804835789476900,0.192476806640625,-9.695501993632316,-1.2666082276768982,-0.7505549671258777
1695804835799476700,0.202476806640625,-9.693250415313244,-1.2805109346926211,-0.7560217080991715
1695804835809475800,0.212475830078125,-9.69073697118759,-1.2933615023069083,-0.7662998679421842
1695804835819475000,0.222474853515625,-9.688391869366168,-1.3031925759695469,-0.7791869681745767
1695804835829474800,0.232474853515625,-9.686422030597925,-1.3093575283400714,-0.7932214848764241
1695804835839474000,0.242473876953125,-9.685252402296662,-1.3106233104921876,-0.8053164848830551
